,price,mileage,transmission,model,year,fuelType,tax,mpg,engineSize,cluster
0,12942,30768,1,2,2015,1,200,41.5,2.0,2
1,11499,24845,1,2,2016,0,20,70.6,2.0,2
2,5356,69078,1,1,2013,0,0,85.6,1.6,3
3,11899,17445,1,2,2017,1,145,60.1,1.0,0
4,17999,2594,0,2,2019,0,145,67.3,1.5,0
5,17999,1480,0,2,2019,0,145,64.2,2.0,0
6,8899,7802,0,2,2015,1,160,44.8,1.6,0
7,5379,71963,1,2,2012,1,145,47.9,1.6,3
8,7626,22501,1,1,2015,0,0,78.5,1.5,0
9,8483,48739,1,2,2014,1,20,60.1,1.0,2
10,18699,3588,0,2,2019,1,145,39.2,1.5,0
11,18599,3720,0,2,2019,0,145,64.2,2.0,0
12,16999,4714,1,2,2019,0,145,57.7,1.5,0
13,6733,74133,1,1,2015,1,0,65.7,1.0,1
14,12599,22111,1,2,2017,1,145,50.4,1.5,0
15,14999,32990,1,2,2016,0,20,67.3,2.0,2
16,13999,8666,1,2,2018,1,145,57.7,1.0,0
17,9999,7805,1,1,2017,1,145,64.2,1.1,0
18,8350,18403,0,2,2015,1,160,44.8,1.6,0
19,16999,9577,1,2,2018,0,145,74.3,1.5,0
20,17699,1821,0,2,2019,0,145,74.3,1.5,0
21,9899,22385,1,1,2017,1,145,65.7,1.0,0
22,7490,43325,1,2,2012,1,145,47.9,1.6,2
23,3990,53583,1,1,2009,0,20,67.3,1.4,3
24,7676,22358,1,1,2014,0,0,76.4,1.5,0
25,12500,8220,1,2,2017,0,0,74.3,1.5,0
26,7960,17164,1,1,2015,1,0,65.7,1.0,0
27,6490,28000,1,1,2012,1,125,48.7,1.4,2
28,5450,63000,1,2,2011,0,20,67.3,1.6,3
29,8999,16213,0,1,2016,1,0,57.7,1.0,0
30,4940,39932,1,1,2013,1,30,54.3,1.2,2
31,6870,67901,1,1,2016,1,125,54.3,1.2,3
32,9640,28088,1,1,2015,1,145,47.9,1.6,2
33,8940,48687,1,2,2016,0,0,74.3,1.5,2
34,7996,44000,1,2,2015,1,20,60.1,1.0,2
35,9699,23183,1,2,2017,1,145,60.1,1.0,0
36,12495,20693,0,2,2017,1,145,46.3,1.5,0
37,11999,5612,1,1,2018,1,145,65.7,1.0,0
38,9999,9813,1,1,2018,1,145,64.2,1.1,0
39,7000,43016,1,2,2014,0,20,67.3,1.6,2
40,7989,75929,1,1,2016,0,0,78.5,1.5,1
41,5949,52135,1,1,2013,0,0,85.6,1.6,3
