model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Focus,2015,12942,Manual,30768,Petrol,200,41.5,2
 Focus,2016,11499,Manual,24845,Diesel,20,70.6,2
 Fiesta,2013,5356,Manual,69078,Diesel,0,85.6,1.6
 Focus,2017,11899,Manual,17445,Petrol,145,60.1,1
 Focus,2019,17999,Automatic,2594,Diesel,145,67.3,1.5
 Focus,2019,17999,Automatic,1480,Diesel,145,64.2,2
 Focus,2015,8899,Automatic,7802,Petrol,160,44.8,1.6
 Focus,2012,5379,Manual,71963,Petrol,145,47.9,1.6
 Fiesta,2015,7626,Manual,22501,Diesel,0,78.5,1.5
 Focus,2014,8483,Manual,48739,Petrol,20,60.1,1
 Focus,2019,18699,Automatic,3588,Petrol,145,39.2,1.5
 Focus,2019,18599,Automatic,3720,Diesel,145,64.2,2
 Focus,2019,16999,Manual,4714,Diesel,145,57.7,1.5
 Fiesta,2015,6733,Manual,74133,Petrol,0,65.7,1
 Focus,2017,12599,Manual,22111,Petrol,145,50.4,1.5
 Focus,2016,14999,Manual,32990,Diesel,20,67.3,2
 Focus,2018,13999,Manual,8666,Petrol,145,57.7,1
 Fiesta,2017,9999,Manual,7805,Petrol,145,64.2,1.1
 Focus,2015,8350,Automatic,18403,Petrol,160,44.8,1.6
 Focus,2018,16999,Manual,9577,Diesel,145,74.3,1.5
 Focus,2019,17699,Automatic,1821,Diesel,145,74.3,1.5
 Fiesta,2017,9899,Manual,22385,Petrol,145,65.7,1
 Focus,2012,7490,Manual,43325,Petrol,145,47.9,1.6
 Fiesta,2009,3990,Manual,53583,Diesel,20,67.3,1.4
 Fiesta,2014,7676,Manual,22358,Diesel,0,76.4,1.5
 Focus,2017,12500,Manual,8220,Diesel,0,74.3,1.5
 Fiesta,2015,7960,Manual,17164,Petrol,0,65.7,1
 Fiesta,2012,6490,Manual,28000,Petrol,125,48.7,1.4
 Focus,2011,5450,Manual,63000,Diesel,20,67.3,1.6
 Fiesta,2016,8999,Automatic,16213,Petrol,0,57.7,1
 Fiesta,2013,4940,Manual,39932,Petrol,30,54.3,1.2
 Fiesta,2016,6870,Manual,67901,Petrol,125,54.3,1.2
 Fiesta,2015,9640,Manual,28088,Petrol,145,47.9,1.6
 Focus,2016,8940,Manual,48687,Diesel,0,74.3,1.5
 Focus,2015,7996,Manual,44000,Petrol,20,60.1,1
 Focus,2017,9699,Manual,23183,Petrol,145,60.1,1
 Focus,2017,12495,Automatic,20693,Petrol,145,46.3,1.5
 Fiesta,2018,11999,Manual,5612,Petrol,145,65.7,1
 Fiesta,2018,9999,Manual,9813,Petrol,145,64.2,1.1
 Focus,2014,7000,Manual,43016,Diesel,20,67.3,1.6
 Fiesta,2016,7989,Manual,75929,Diesel,0,78.5,1.5
 Fiesta,2013,5949,Manual,52135,Diesel,0,85.6,1.6
 Fiesta,2016,6940,Manual,75386,Diesel,0,78.5,1.5
 Fiesta,2018,9999,Manual,13614,Petrol,145,64.2,1.1
 Fiesta,2018,9299,Manual,2398,Petrol,145,64.2,1.1
 Focus,2018,15999,Manual,16582,Petrol,145,41.5,2
 EcoSport,2016,8499,Manual,31530,Petrol,125,53.3,1
 Focus,2017,10999,Manual,15555,Petrol,145,58.9,1
 Focus,2018,10999,Manual,10374,Petrol,145,61.4,1
 Focus,2014,8940,Automatic,29192,Petrol,160,44.8,1.6
 Focus,2014,6840,Manual,69000,Diesel,20,67.3,1.6
 Focus,2015,5750,Manual,78000,Diesel,20,67.3,1.6
 Fiesta,2015,8845,Manual,29194,Petrol,0,65.7,1
 Fiesta,2014,6995,Manual,51438,Petrol,0,65.7,1
