price,mileage,transmission,model,year,fuelType,tax,mpg,engineSize
12942,30768,Manual, Focus,2015,Petrol,200,41.5,2
11499,24845,Manual, Focus,2016,Diesel,20,70.6,2
5356,69078,Manual, Fiesta,2013,Diesel,0,85.6,1.6
11899,17445,Manual, Focus,2017,Petrol,145,60.1,1
17999,2594,Automatic, Focus,2019,Diesel,145,67.3,1.5
17999,1480,Automatic, Focus,2019,Diesel,145,64.2,2
8899,7802,Automatic, Focus,2015,Petrol,160,44.8,1.6
5379,71963,Manual, Focus,2012,Petrol,145,47.9,1.6
7626,22501,Manual, Fiesta,2015,Diesel,0,78.5,1.5
8483,48739,Manual, Focus,2014,Petrol,20,60.1,1
18699,3588,Automatic, Focus,2019,Petrol,145,39.2,1.5
18599,3720,Automatic, Focus,2019,Diesel,145,64.2,2
16999,4714,Manual, Focus,2019,Diesel,145,57.7,1.5
6733,74133,Manual, Fiesta,2015,Petrol,0,65.7,1
12599,22111,Manual, Focus,2017,Petrol,145,50.4,1.5
14999,32990,Manual, Focus,2016,Diesel,20,67.3,2
13999,8666,Manual, Focus,2018,Petrol,145,57.7,1
9999,7805,Manual, Fiesta,2017,Petrol,145,64.2,1.1
8350,18403,Automatic, Focus,2015,Petrol,160,44.8,1.6
16999,9577,Manual, Focus,2018,Diesel,145,74.3,1.5
17699,1821,Automatic, Focus,2019,Diesel,145,74.3,1.5
9899,22385,Manual, Fiesta,2017,Petrol,145,65.7,1
7490,43325,Manual, Focus,2012,Petrol,145,47.9,1.6
3990,53583,Manual, Fiesta,2009,Diesel,20,67.3,1.4
7676,22358,Manual, Fiesta,2014,Diesel,0,76.4,1.5
12500,8220,Manual, Focus,2017,Diesel,0,74.3,1.5
7960,17164,Manual, Fiesta,2015,Petrol,0,65.7,1
6490,28000,Manual, Fiesta,2012,Petrol,125,48.7,1.4
5450,63000,Manual, Focus,2011,Diesel,20,67.3,1.6
8999,16213,Automatic, Fiesta,2016,Petrol,0,57.7,1
